Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
$40 On Us for Mosquito Control,Enabled,Smart,644,33490,1.92%,USD,0.75,486.11,26.48%,61.06%,30,0,16.2,4.66%
Mosquito Control Services,Enabled,Smart,171,3055,5.6%,USD,3.69,630.79,36%,80%,29,0,21.75,16.96%
Best Mosquito Control in Miami,Paused,Smart,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Mosquito Misting System Refill,Paused,Smart,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
MoJo Vid Lead - Grandma vid 15s,Removed,Video,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Mosquito Control Service,Paused,Smart,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Google Build,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Leads-Gmail-ad-1,Removed,Display,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Re-targeting Ad $39.99 Special,Paused,Display,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Website traffic-Display-Level 1,Paused,Display,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Misting System - Level 1 - Awareness,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Misting System - Level 2 - Retarget Site Visitors,Removed,Video,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Website traffic-Search- Awareness,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Cyber Monday 2019 - Day Of Dec 2nd,Paused,Display,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Cyber Monday 2019 - Mark your calendars,Paused,Display,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Dynamic Ad - Website Traffic,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
2020-04-07 Misting system 15sec Ad,Removed,Video,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
[Leads-Discovery] Barrier Treatments,Paused,Demand Gen,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Lead Gen - Video Conversions - 2021-04-27,Removed,Video,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
LeadGen-Search-8-3-2021,Enabled,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Leads-Search-Misting-Maintenance-3-7-2022,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Lead Gen-Performance Max-10-2-22,Enabled,Performance Max,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Local Ad - Map Ad,Removed,Local,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Misting system Funnel traffic-Performance Max-4,Enabled,Performance Max,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
PMax: Local Ad - Map Ad,Enabled,Performance Max,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
New Lead Gen Feb2024,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Lead Form (Mar15-24),Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Misting System Search,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Leads Display Apr19,Paused,Display,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
YouTube Video views barrier spray - 2024-04-18 - YG,Enabled,Video,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Search Swat Mosquito,Paused,Search,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Performance Max-11-15-2024/updated 2/27/25,Paused,Performance Max,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
Vince Youtube - 2025-02-26,Enabled,Demand Gen,0,0,0%,USD,0,0,0%,0%,0,0,0,0%
