Campaign performance
All time
Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Misting system Funnel traffic-Performance Max-4,Enabled,Performance Max,"19,052","2,010,601",0.95%,USD,0.10,1840.02,0,0,"18,383.51",0,0.10,96.31%
Mosquito Control Services,Enabled,Smart,"13,385","259,741",5.15%,USD,1.90,25367.83,41.64%,89.42%,"1,856.99",43,13.66,13.87%
$40 On Us for Mosquito Control,Enabled,Smart,"11,363","315,903",3.60%,USD,0.60,6839.56,24.63%,61.21%,202.00,0,33.86,1.78%
Website traffic-Display-Level 1,Paused,Display,"7,628","1,184,283",0.64%,USD,0.29,2217.98,0,0,0.00,0,0,0.00%
Leads-Gmail-ad-1,Removed,Display,"4,395","45,679",9.62%,USD,0.97,4280.85,0,0,0.00,0,0,0.00%
Lead Gen - Video Conversions - 2021-04-27,Removed,Video,"4,270","569,459",0.75%,USD,1.83,7821.73,0,0,0.00,0,0,0.00%
New Lead Gen Feb2024,Paused,Search,"3,860","55,955",6.90%,USD,5.41,20901.38,25.86%,75.94%,406.50,0,51.42,10.53%
Vince Youtube - 2025-02-26,Enabled,Demand Gen,"3,281","56,012",5.86%,USD,0.25,819.44,0,0,0.00,0,0,0.00%
Performance Max-11-15-2024/updated 2/27/25,Paused,Performance Max,"2,884","193,856",1.49%,USD,1.29,3729.94,0,0,85.00,0,43.88,0.85%
Lead Gen-Performance Max-10-2-22,Enabled,Performance Max,"1,725","184,107",0.94%,USD,0.73,1265.49,0,0,8.00,1,158.19,0.15%
Local Ad - Map Ad,Removed,Local,"1,506","296,700",0.51%,USD,0.49,731.61,0,0,7.00,9,104.52,0.02%
Website traffic-Search- Awareness,Paused,Search,"1,105","62,236",1.78%,USD,3.63,4016.61,48.06%,85.29%,27.00,0,148.76,2.44%
Cyber Monday 2019 - Mark your calendars,Paused,Display,"1,003","130,909",0.77%,USD,0.30,304.22,0,0,0.00,0,0,0.00%
Mosquito Control Service,Paused,Smart,852,"96,763",0.88%,USD,1.20,1018.78,32.92%,71.36%,13.00,62,78.37,1.53%
Dynamic Ad - Website Traffic,Paused,Search,832,"6,884",12.09%,USD,5.23,4347.27,38.64%,81.74%,118.00,0,36.84,14.18%
Mosquito Misting System Refill,Paused,Smart,814,"63,441",1.28%,USD,2.77,2257.37,58.34%,84.53%,25.00,33,90.29,3.07%
Misting System - Level 1 - Awareness,Paused,Search,780,"25,447",3.07%,USD,5.21,4064.51,55.19%,81.02%,44.00,0,92.38,5.64%
PMax: Local Ad - Map Ad,Enabled,Performance Max,709,"506,277",0.14%,USD,0.62,437.69,0,0,3.00,27,145.90,0.01%
MoJo Vid Lead - Grandma vid 15s,Removed,Video,320,"65,624",0.49%,USD,1.79,574.01,0,0,0.00,0,0,0.00%
[Leads-Discovery] Barrier Treatments,Paused,Demand Gen,313,"22,719",1.38%,USD,0.80,249.32,0,0,0.00,0,0,0.00%
Leads-Search-Misting-Maintenance-3-7-2022,Paused,Search,253,"4,964",5.10%,USD,9.11,2304.24,35.21%,82.18%,4.00,0,576.06,1.58%
Lead Form (Mar15-24),Paused,Search,242,"3,711",6.52%,USD,1.63,395.51,21.49%,74.01%,15.00,0,26.37,6.20%
Cyber Monday 2019 - Day Of Dec 2nd,Paused,Display,230,"35,683",0.64%,USD,0.27,62.36,0,0,0.00,0,0,0.00%
LeadGen-Search-8-3-2021,Enabled,Search,187,"1,897",9.86%,USD,9.36,1751.03,31.42%,76.09%,28.00,0,62.54,14.97%
Google Build,Paused,Search,186,"11,628",1.60%,USD,5.14,955.92,39.39%,71.56%,5.00,0,191.18,2.69%
YouTube Video views barrier spray - 2024-04-18 - YG,Enabled,Video,167,"32,206",0.52%,USD,0.90,150.05,0,0,0.00,0,0,0.00%
Leads Display Apr19,Paused,Display,154,"8,048",1.91%,USD,0.61,93.72,0,0,0.00,0,0,0.00%
Search Swat Mosquito,Paused,Search,154,"5,928",2.60%,USD,9.20,1416.15,35.60%,81.30%,7.00,0,202.31,4.55%
2020-04-07 Misting system 15sec Ad,Removed,Video,124,"26,186",0.47%,USD,3.58,444.03,0,0,0.00,0,0,0.00%
Re-targeting Ad $39.99 Special,Paused,Display,103,"68,356",0.15%,USD,1.34,137.78,0,0,0.00,0,0,0.00%
Misting System Search,Paused,Search,34,730,4.66%,USD,6.48,220.30,36.57%,89.84%,1.00,0,220.30,2.94%
Best Mosquito Control in Miami,Paused,Smart,23,"7,222",0.32%,USD,6.30,144.98,65.00%,83.13%,0.00,2,0,0.00%
Misting System - Level 2 - Retarget Site Visitors,Removed,Video,13,"4,325",0.30%,USD,6.18,80.33,0,0,0.00,0,0,0.00%
